Domain,Area,Element,Item,Year,Value
"Crops and livestock products","Ghana","Yield","Cocoa beans","2013","522.1"
"Crops and livestock products","Ghana","Production","Cocoa beans","2013","835466"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2014","1683765"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2014","510"
"Crops and livestock products","Ghana","Production","Cocoa beans","2014","858720"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2015","1683765"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2015","510"
"Crops and livestock products","Ghana","Production","Cocoa beans","2015","858720"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2016","1683765"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2016","510"
"Crops and livestock products","Ghana","Production","Cocoa beans","2016","858720"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2017","1863830"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2017","520.1"
"Crops and livestock products","Ghana","Production","Cocoa beans","2017","969300"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2018","1726616"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2018","524"
"Crops and livestock products","Ghana","Production","Cocoa beans","2018","904700"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2019","1536624"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2019","528.2"
"Crops and livestock products","Ghana","Production","Cocoa beans","2019","811700"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2020","1486060"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2020","538.3"
"Crops and livestock products","Ghana","Production","Cocoa beans","2020","800000"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2021","1904331"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2021","550"
"Crops and livestock products","Ghana","Production","Cocoa beans","2021","1047385"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2022","1218838"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2022","560.6"
"Crops and livestock products","Ghana","Production","Cocoa beans","2022","683300"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2023","1150057"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2023","568.4"
"Crops and livestock products","Ghana","Production","Cocoa beans","2023","653700"
"Crops and livestock products","Ghana","Area harvested","Cocoa beans","2024","919824"
"Crops and livestock products","Ghana","Yield","Cocoa beans","2024","576.2"
"Crops and livestock products","Ghana","Production","Cocoa beans","2024","530000"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2012","64291"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2012","5366.2"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2012","345000"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2013","67747"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2013","5405.1"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2013","366183"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2014","70480"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2014","5397"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2014","380380"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2015","71056"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2015","5353.2"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2015","380380"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2016","71553"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2016","6372.9"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2016","456000"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2017","87335"
"Crops and livestock products","Ghana","Yield","Coconuts, in shell","2017","5276.2"
"Crops and livestock products","Ghana","Production","Coconuts, in shell","2017","460800"
"Crops and livestock products","Ghana","Area harvested","Coconuts, in shell","2018","83742"
